Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.413000	8.772000	19.768000	3.346000	9.950000	15.640000	
1.000000	0.099990	3.038000	17.950000	35.179000	2.754000	25.529000	36.548000	
2.000000	0.099977	2.848000	27.429000	46.203000	2.384000	39.766000	50.527000	
3.000000	0.099958	2.696000	35.942000	54.682000	2.151000	48.971000	61.305000	
4.000000	0.099935	2.607000	43.038000	60.586000	2.049000	53.869000	66.288000	
5.000000	0.099906	2.540000	49.679000	66.073000	1.993000	62.475000	71.799000	
6.000000	0.099872	2.480000	54.169000	69.300000	1.827000	64.667000	77.269000	
7.000000	0.099833	2.426000	58.528000	72.679000	1.865000	65.593000	73.622000	
8.000000	0.099789	2.389000	61.988000	75.071000	1.740000	72.281000	81.767000	
9.000000	0.099740	2.360000	63.923000	76.120000	1.719000	73.906000	82.455000	
10.000000	0.099685	2.328000	66.531000	78.369000	1.688000	74.975000	83.104000	
11.000000	0.099625	2.310000	67.403000	78.888000	1.690000	75.905000	83.266000	
12.000000	0.099561	2.286000	69.513000	80.039000	1.675000	75.345000	83.914000	
13.000000	0.099490	2.265000	70.804000	80.955000	1.626000	79.330000	86.062000	
14.000000	0.099415	2.249000	72.430000	81.922000	1.643000	77.147000	84.643000	
15.000000	0.099335	2.236000	73.271000	82.695000	1.650000	78.941000	84.198000	
16.000000	0.099249	2.209000	74.490000	83.561000	1.640000	78.933000	85.737000	
