Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.404000	5.713000	14.159000	3.322000	10.650000	17.261000	
1.000000	0.099990	3.132000	10.236000	24.501000	3.233000	11.825000	19.165000	
2.000000	0.099977	3.032000	11.701000	27.718000	3.022000	14.075000	22.812000	
3.000000	0.099958	2.959000	13.449000	31.647000	3.243000	10.500000	17.018000	
4.000000	0.099935	2.931000	13.652000	31.942000	2.986000	14.700000	22.042000	
5.000000	0.099906	2.885000	14.381000	33.235000	2.900000	18.050000	28.444000	
6.000000	0.099872	2.871000	15.408000	34.456000	2.770000	20.833000	32.618000	
7.000000	0.099833	2.835000	15.994000	35.708000	2.765000	20.675000	32.699000	
8.000000	0.099789	2.798000	16.725000	37.052000	2.778000	20.351000	30.754000	
9.000000	0.099740	2.781000	17.792000	38.223000	2.813000	18.391000	28.971000	
10.000000	0.099685	2.770000	18.330000	39.241000	3.001000	17.900000	25.932000	
11.000000	0.099625	2.744000	19.162000	40.269000	2.885000	18.425000	29.862000	
12.000000	0.099561	2.730000	19.083000	40.381000	2.728000	23.025000	35.373000	
13.000000	0.099490	2.723000	19.325000	40.544000	2.692000	22.052000	35.292000	
14.000000	0.099415	2.695000	20.206000	41.785000	2.859000	21.350000	32.010000	
15.000000	0.099335	2.685000	20.433000	41.999000	2.733000	23.479000	35.940000	
16.000000	0.099249	2.684000	20.827000	42.294000	2.675000	24.759000	37.804000	
17.000000	0.099159	2.665000	21.122000	43.149000	2.691000	25.231000	38.412000	
18.000000	0.099063	2.653000	21.411000	43.302000	2.735000	19.875000	32.050000	
19.000000	0.098962	2.637000	22.823000	44.849000	2.949000	18.800000	28.363000	
20.000000	0.098856	2.637000	22.825000	44.513000	2.582000	29.066000	42.828000	
21.000000	0.098745	2.647000	22.518000	44.442000	2.833000	22.125000	33.914000	
22.000000	0.098629	2.634000	22.929000	45.002000	2.623000	29.176000	42.869000	
23.000000	0.098508	2.634000	23.102000	44.391000	2.498000	31.665000	46.029000	
24.000000	0.098381	2.594000	24.502000	46.285000	2.602000	28.058000	40.113000	
25.000000	0.098250	2.589000	24.700000	46.743000	2.668000	27.350000	40.397000	
26.000000	0.098114	2.592000	24.889000	46.794000	2.735000	26.504000	37.318000	
27.000000	0.097973	2.579000	25.692000	47.750000	2.824000	23.158000	34.562000	
28.000000	0.097826	2.573000	25.871000	47.577000	2.700000	26.141000	37.925000	
29.000000	0.097675	2.576000	25.623000	47.313000	2.517000	30.601000	41.896000	
30.000000	0.097519	2.556000	26.540000	48.402000	3.158000	17.475000	25.729000	
31.000000	0.097358	2.555000	26.237000	47.893000	2.576000	30.550000	42.464000	
32.000000	0.097192	2.547000	27.258000	49.257000	2.489000	36.050000	51.135000	
33.000000	0.097021	2.545000	26.916000	48.697000	2.724000	25.150000	37.358000	
34.000000	0.096845	2.524000	27.719000	49.715000	2.708000	27.158000	36.062000	
35.000000	0.096664	2.531000	27.919000	49.664000	2.681000	29.049000	41.005000	
36.000000	0.096479	2.523000	27.581000	49.562000	2.729000	24.228000	34.198000	
37.000000	0.096288	2.533000	27.813000	49.552000	2.756000	22.158000	31.969000	
38.000000	0.096093	2.512000	28.515000	50.529000	2.514000	34.701000	46.921000	
39.000000	0.095893	2.499000	29.147000	51.089000	2.432000	36.651000	51.459000	
40.000000	0.095689	2.502000	29.356000	51.140000	2.783000	25.104000	33.023000	
