Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.243000	11.433000	24.471000	3.011000	16.400000	25.608000	
1.000000	0.099990	2.772000	21.944000	39.923000	2.714000	28.134000	36.953000	
2.000000	0.099977	2.397000	35.703000	54.285000	2.186000	49.562000	61.831000	
3.000000	0.099958	2.220000	43.984000	61.258000	1.995000	56.251000	69.530000	
4.000000	0.099935	2.113000	50.287000	66.002000	1.883000	64.352000	76.175000	
5.000000	0.099906	2.030000	55.310000	69.829000	1.930000	65.459000	73.784000	
6.000000	0.099872	1.969000	58.548000	72.374000	1.940000	63.960000	72.204000	
7.000000	0.099833	1.923000	61.123000	74.277000	1.780000	67.856000	78.971000	
8.000000	0.099789	1.904000	62.296000	75.173000	1.743000	70.397000	80.511000	
9.000000	0.099740	1.866000	64.792000	76.781000	1.696000	72.317000	83.063000	
10.000000	0.099685	1.842000	66.358000	78.033000	1.693000	74.596000	82.577000	
11.000000	0.099625	1.822000	67.980000	79.000000	1.656000	75.602000	83.712000	
12.000000	0.099561	1.802000	69.701000	79.896000	1.664000	76.753000	84.319000	
13.000000	0.099490	1.788000	70.661000	80.853000	1.628000	79.327000	85.656000	
14.000000	0.099415	1.773000	71.063000	80.955000	1.626000	79.813000	86.345000	
15.000000	0.099335	1.759000	72.369000	81.739000	1.628000	81.220000	86.467000	
16.000000	0.099249	1.753000	72.316000	82.105000	1.675000	76.799000	83.671000	
17.000000	0.099159	1.737000	73.719000	82.950000	1.614000	78.423000	86.467000	
18.000000	0.099063	1.725000	75.344000	83.724000	1.615000	79.394000	86.021000	
19.000000	0.098962	1.722000	75.064000	83.428000	1.610000	81.722000	86.264000	
20.000000	0.098856	1.710000	75.893000	84.202000	1.715000	75.200000	81.321000	
21.000000	0.098745	1.705000	76.127000	84.446000	1.601000	79.719000	87.156000	
22.000000	0.098629	1.702000	75.999000	84.222000	1.605000	80.392000	88.169000	
23.000000	0.098508	1.704000	75.181000	83.846000	1.596000	80.858000	86.831000	
24.000000	0.098381	1.695000	76.803000	84.721000	1.566000	82.877000	88.655000	
25.000000	0.098250	1.697000	75.812000	84.283000	1.596000	83.557000	87.358000	
26.000000	0.098114	1.691000	76.948000	84.741000	1.576000	81.515000	87.804000	
27.000000	0.097973	1.682000	76.563000	84.894000	1.576000	81.684000	88.452000	
28.000000	0.097826	1.669000	78.079000	85.607000	1.600000	79.978000	86.629000	
29.000000	0.097675	1.674000	77.882000	85.576000	1.579000	80.545000	87.520000	
30.000000	0.097519	1.673000	77.847000	85.678000	1.579000	81.885000	87.763000	
31.000000	0.097358	1.673000	78.152000	85.607000	1.565000	83.981000	88.493000	
32.000000	0.097192	1.666000	78.776000	86.014000	1.621000	82.976000	86.669000	
33.000000	0.097021	1.662000	78.774000	85.973000	1.586000	82.855000	87.561000	
34.000000	0.096845	1.665000	78.249000	85.912000	1.584000	82.380000	86.994000	
35.000000	0.096664	1.649000	79.819000	86.757000	1.558000	82.313000	88.128000	
36.000000	0.096479	1.656000	79.455000	86.574000	1.587000	80.627000	86.831000	
37.000000	0.096288	1.653000	79.490000	86.513000	1.557000	84.243000	88.574000	
38.000000	0.096093	1.657000	79.275000	86.360000	1.558000	81.873000	87.925000	
39.000000	0.095893	1.650000	79.741000	86.502000	1.531000	84.437000	90.316000	
40.000000	0.095689	1.650000	79.503000	86.513000	1.635000	80.733000	85.413000	
41.000000	0.095479	1.646000	80.201000	86.808000	1.545000	81.960000	88.250000	
42.000000	0.095265	1.640000	80.172000	86.899000	1.556000	83.749000	88.290000	
43.000000	0.095046	1.652000	79.230000	86.329000	1.555000	82.344000	88.776000	
44.000000	0.094823	1.638000	80.187000	87.123000	1.556000	81.467000	88.169000	
45.000000	0.094595	1.635000	80.033000	86.991000	1.572000	81.648000	87.763000	
46.000000	0.094362	1.632000	80.742000	87.001000	1.550000	82.649000	88.047000	
47.000000	0.094125	1.634000	80.929000	87.398000	1.558000	82.711000	88.695000	
48.000000	0.093883	1.635000	80.135000	87.154000	1.555000	84.474000	88.209000	
49.000000	0.093636	1.634000	80.344000	86.961000	1.562000	82.939000	88.088000	
50.000000	0.093385	1.632000	80.345000	87.235000	1.536000	84.578000	89.587000	
51.000000	0.093130	1.620000	81.506000	87.826000	1.542000	84.302000	89.789000	
52.000000	0.092870	1.629000	81.270000	87.347000	1.534000	83.463000	89.263000	
53.000000	0.092606	1.627000	80.611000	87.256000	1.546000	84.416000	89.222000	
54.000000	0.092337	1.624000	81.205000	87.653000	1.522000	84.947000	90.559000	
55.000000	0.092064	1.616000	82.066000	88.202000	1.525000	84.549000	89.951000	
56.000000	0.091786	1.618000	80.995000	87.459000	1.527000	83.897000	89.830000	
57.000000	0.091505	1.622000	81.678000	87.846000	1.543000	84.388000	88.655000	
58.000000	0.091219	1.616000	81.965000	88.101000	1.557000	82.298000	88.533000	
59.000000	0.090928	1.610000	81.968000	88.172000	1.574000	83.216000	88.169000	
60.000000	0.090634	1.604000	82.669000	88.508000	1.514000	84.267000	89.870000	
61.000000	0.090335	1.608000	82.052000	88.223000	1.545000	83.691000	88.371000	
62.000000	0.090032	1.609000	81.908000	88.131000	1.516000	84.009000	89.992000	
63.000000	0.089725	1.610000	82.055000	87.928000	1.527000	85.310000	89.951000	
64.000000	0.089414	1.602000	82.229000	88.182000	1.546000	83.632000	87.763000	
65.000000	0.089099	1.604000	82.747000	88.518000	1.517000	84.472000	90.073000	
66.000000	0.088780	1.612000	81.997000	88.029000	1.518000	85.829000	90.357000	
67.000000	0.088457	1.599000	82.969000	88.650000	1.523000	82.922000	89.100000	
68.000000	0.088130	1.596000	82.801000	88.905000	1.514000	85.942000	90.194000	
69.000000	0.087799	1.598000	82.911000	88.772000	1.538000	83.309000	89.465000	
70.000000	0.087465	1.600000	82.380000	88.579000	1.538000	84.914000	88.493000	
71.000000	0.087126	1.600000	82.259000	88.426000	1.528000	85.285000	89.546000	
72.000000	0.086784	1.589000	84.021000	89.434000	1.520000	84.909000	90.032000	
73.000000	0.086437	1.595000	83.353000	89.057000	1.528000	86.256000	89.019000	
74.000000	0.086088	1.595000	83.061000	88.772000	1.511000	84.975000	90.194000	
75.000000	0.085734	1.585000	83.921000	89.251000	1.500000	85.426000	90.316000	
76.000000	0.085377	1.595000	83.062000	88.833000	1.511000	86.717000	89.951000	
77.000000	0.085016	1.590000	84.057000	89.515000	1.551000	84.315000	88.817000	
78.000000	0.084652	1.587000	83.340000	89.108000	1.532000	84.690000	89.506000	
79.000000	0.084284	1.586000	83.180000	89.027000	1.532000	83.965000	89.708000	
80.000000	0.083912	1.582000	84.067000	89.485000	1.564000	84.145000	86.426000	
81.000000	0.083537	1.586000	83.899000	89.241000	1.527000	84.963000	88.857000	
82.000000	0.083159	1.588000	83.388000	89.088000	1.522000	84.917000	89.465000	
83.000000	0.082778	1.580000	83.995000	89.332000	1.522000	84.041000	89.303000	
84.000000	0.082393	1.578000	84.012000	89.556000	1.524000	83.827000	89.100000	
85.000000	0.082005	1.587000	84.182000	89.383000	1.533000	84.340000	88.412000	
86.000000	0.081613	1.577000	84.223000	89.424000	1.526000	84.656000	89.506000	
87.000000	0.081218	1.582000	83.228000	89.281000	1.530000	84.962000	88.209000	
